country,clicks,impressions,ctr,position
vct,0,4,0.0,44.5
ven,0,124,0.0,67.58870967741936
vgb,0,2,0.0,41.0
vnm,0,959,0.0,62.59541188738269
vut,0,1,0.0,100.0
xkk,0,2,0.0,69.5
yem,0,2,0.0,79.0
zmb,0,7,0.0,38.714285714285715
zwe,0,2,0.0,46.5
zzz,0,95,0.0,68.30526315789474
