sessionCampaignName,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
(direct),33,25,25,25,15,0.4545454545454545,181.6706706060606,53,157,0
(organic),3,3,3,3,1,0.3333333333333333,632.453899,5,17,0
