screenResolution,sessions,totalUsers,engagementRate,keyEvents
1920x1080,11,11,0.4545454545454545,0
393x852,7,2,0.5714285714285714,0
1800x1125,5,5,0.0,0
1920x1200,5,2,1.0,0
800x600,4,4,0.0,0
1024x1024,1,1,0.0,0
1366x768,1,1,1.0,0
1536x864,1,1,1.0,0
360x780,1,1,0.0,0
