date,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
20260829,27,19,19,19,14,0.5185185185185184,279.7780293703704,49,141,0
20260828,5,5,5,5,0,0.0,2.0831484,5,17,0
20260827,4,4,4,4,2,0.5,82.017823,4,16,0
