sessionSourceMedium,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
(direct) / (none),33,25,25,25,15,0.4545454545454545,181.6706706060606,53,157,0
google / organic,2,2,2,2,1,0.5,946.120445,4,13,0
bing / organic,1,1,1,1,0,0.0,5.120807,1,4,0
