search_type,clicks,impressions,ctr,position
web,381.0,151004.0,0.0025231119705438265,53.057918995523295
image,0.0,368.0,0.0,46.98097826086956
video,0.0,0.0,0.0,0.0
news,0.0,0.0,0.0,0.0
discover,0.0,0.0,0.0,0.0
googleNews,0.0,0.0,0.0,0.0
