operatingSystem,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
Windows,19,16,16,16,12,0.631578947368421,334.5123874210526,33,106,0
Linux,8,8,8,8,0,0.0,0.0,8,24,0
iOS,7,2,2,2,4,0.5714285714285714,219.3226681428571,15,37,0
Android,2,2,2,2,0,0.0,0.7498945,2,7,0
