window_days,period,start,end,clicks,impressions,ctr,position
7,current,2026-08-21,2026-08-27,8.0,2504.0,0.003194888178913738,52.11741214057508
7,previous,2026-08-14,2026-08-20,4.0,1164.0,0.003436426116838488,54.27577319587629
28,current,2026-07-31,2026-08-27,14.0,4405.0,0.003178206583427923,57.248581157775256
28,previous,2026-07-03,2026-07-30,13.0,5753.0,0.002259690596210673,50.30001738223535
90,current,2026-05-30,2026-08-27,38.0,21593.0,0.0017598295743991108,50.30074561200389
90,previous,2026-03-01,2026-05-29,39.0,27112.0,0.0014384774269696075,42.633704632634995
365,current,2025-08-28,2026-08-27,176.0,101950.0,0.0017263364394310937,46.815046591466405
365,previous,2024-08-28,2025-08-27,249.0,51073.0,0.004875374464002507,65.62463532590606
