hostName,pagePath,screenPageViews,totalUsers,eventCount
azwebcorp.com,/,26,21,85
azwebcorp.com,/free-seo-audit/,11,4,26
azwebcorp.com,/seo-audit-results/,11,4,29
azwebcorp.com,/contact-us/,4,3,12
azwebcorp.com,/web-development/,3,3,10
azwebcorp.com,/arizona-seo-services/,2,2,9
azwebcorp.com,/arizona-digital-marketing/,1,1,3
