window_days,period,start,end,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
7,current,2026-08-23,2026-08-29,36.0,28.0,28.0,28.0,16.0,0.4444444444444444,219.23593963888888,58.0,174.0,0.0
7,previous,2026-08-16,2026-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,current,2026-08-02,2026-08-29,36.0,28.0,28.0,28.0,16.0,0.4444444444444444,219.23593963888888,58.0,174.0,0.0
28,previous,2026-07-05,2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,current,2026-06-01,2026-08-29,36.0,28.0,28.0,28.0,16.0,0.4444444444444444,219.23593963888888,58.0,174.0,0.0
90,previous,2026-03-03,2026-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,current,2025-08-30,2026-08-29,36.0,28.0,28.0,28.0,16.0,0.4444444444444444,219.23593963888888,58.0,174.0,0.0
365,previous,2024-08-30,2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
